room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_EV_CHARGER,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HIGH_CHAIR,SYSTEM_HAIRDRYER,SYSTEM_PETS,SYSTEM_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BREAKFAST,SYSTEM_REFRIGERATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPIT,SYSTEM_MAPS_RESORT
770795563900558708,0.0,quangninh,13,20.95228181979995,107.02450733631849,REGULAR,Homestay newlife Hạ Long- căn hộ 2 phòng ngủ,entire_home,0,0,1467228,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
805035477476244655,0.0,quangninh,10,20.9526,107.02363,REGULAR,Căn hộ 2 phòng ngủ,entire_home,0,0,1491681,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
43456465,3.5,quangninh,15,20.73931,107.0326,REGULAR,"Cát Bà Mountain View - ""Người đẹp nhất” W1",private_room,4,0,1482389,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
672875506399375192,4.08,quangninh,30,20.724865562978735,107.04914485185061,REGULAR,Phòng nhìn ra biển với ban công lớn,private_room,12,0,1483530,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39287106,0.0,quangninh,30,20.94803,107.07272,REGULAR,Suite Room  next to seacoast - Breakfast included,private_room,0,0,1555424,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
704651417722998007,0.0,quangninh,7,20.970975971052958,107.76317529380322,REGULAR,Khách sạn & Nhà hàng Sen Việt,private_room,0,0,1550000,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
896583855856390816,0.0,quangninh,11,20.86423540510622,106.6590444656372,REGULAR,FSBHomestay-HoàngHuy Grand 2 Brs,entire_home,0,0,1586236,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41022321,0.0,quangninh,28,20.75171,106.99509,REGULAR,J5 Phòng Superior - JOYSTAY,private_room,0,0,1407452,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
44390736,0.0,quangninh,8,20.95853,107.01267,REGULAR,Maison De Chu A2126 - Homestay sang trọng ở Hạ Long,entire_home,0,0,1483530,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
903268451980559921,0.0,quangninh,11,20.86669954333403,106.66089915541747,REGULAR,"Hoang Huy Grand Tower, Hai Phong city",entire_home,0,0,1597648,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
731548611359327677,0.0,quangninh,10,20.9503,107.10533,REGULAR,GHK Hometel ấm áp tình thân,private_room,0,0,1597648,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
47573805,0.0,quangninh,6,20.95293,107.02376,REGULAR,Căn hộ mới & sang trọng Sunset,entire_home,0,0,1402796,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
47366285,0.0,quangninh,6,20.95126,107.02425,REGULAR,❤ Bồn tắm và ghế tình yêu trong Studio ❤ Green Bay hoàn hảo,entire_home,0,0,1483703,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
