room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_PETS,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_SURVEILLANCE,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_MOUNTAIN,SYSTEM_SNOWFLAKE,SYSTEM_FIREPLACE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_BOAT_SAIL,SYSTEM_CALENDAR,SYSTEM_GOLF,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_SMOKING_ALLOWED,SYSTEM_BATHTUB
28259319,4.5,quangninh,21,20.95721,107.0054,REGULAR,Vast Oceanview 2Br🏖️Greenbay Premium🏖️ Căn hộ Hạ Long,entire_home,6,0,1150495,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
907774389252025367,0.0,quangninh,17,20.8356737,106.7014829,REGULAR,Căn hộ khép kín tầng 6 toà nhà Htower 1,entire_home,0,0,1186982,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
811525615777533423,0.0,quangninh,12,20.95940784415813,107.00509987771511,REGULAR,Căn hộ greenbay premium view vịnh Hạ Long,entire_home,0,0,1090965,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
37678863,4.57,quangninh,20,20.95149,107.0742,REGULAR,Doji Home 2 BR Apart-Vinhomes Dragon Bay,entire_home,7,0,1138236,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
912847795688374547,0.0,quangninh,12,20.86929,106.65599,REGULAR,Modern Apartment,entire_home,0,0,1093445,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41022649,5.0,quangninh,25,20.75179,106.99502,REGULAR,J6 Superior Room - JOYSTAY,private_room,3,0,1043184,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
43790852,4.62,quangninh,18,20.85194,106.68613,REGULAR,Căn hộ 2 phòng ngủ 1wc SHP Khánh Phong,entire_home,13,0,1165295,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
867157559207435802,0.0,quangninh,19,20.95126,107.07235,REGULAR,2BR Apart-City view 1 min to Sea,entire_home,0,0,1145721,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
912921974023605761,0.0,quangninh,5,20.952263748088995,107.00198688085389,REGULAR,Enjoy your vacation,private_room,0,0,998150,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
714979929179217364,5.0,quangninh,9,20.84485,106.68619,REGULAR,Trung tâm thành phố LUXE Haiphong - Vị trí và cây xanh tốt nhất!,entire_home,3,0,1129765,15.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
