room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_LUGGAGE_DROP,SYSTEM_BATHTUB,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_REFRIGERATOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_CABLE,SYSTEM_SAUNA,SYSTEM_FIREPLACE
41009690,0.0,quangninh,30,20.960251,107.047096,REGULAR,Nghỉ dưỡng đáng yêu với Khu vườn Đẹp 🌸🌼🌺101,entire_home,0,0,1262533,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
788200892017384973,0.0,quangninh,6,20.95622623719648,107.00661628518067,REGULAR,Royal Lotus Village & Resort,private_room,0,0,1369412,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30303040,4.0,quangninh,30,20.96061,107.04586,REGULAR,Nhà mùa xuân 1 phòng ngủ với/nhà bếp/Central&Cozy/Green Yard,entire_home,3,0,1369412,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
843754351989822278,0.0,quangninh,8,20.95198,107.02943,REGULAR,DUASHOUSe homestay newlife 1507B,entire_home,0,0,1356370,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
640766094837199418,0.0,quangninh,8,20.95092,107.0834,REGULAR,Hạ Long*Phong cách* Kiểm soát phòng thông minh * Bao gồm bữa sáng,private_room,1,0,1370000,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
836701764736065014,0.0,quangninh,12,20.86335,106.66003,REGULAR,Căn hộ tại Hải Phòng,entire_home,0,0,1369412,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
25437696,0.0,quangninh,15,20.95152,107.02364,REGULAR,Cô Hạ Long - phòng riêng với tầm nhìn ra biển,private_room,1,0,1210017,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
699715669864670579,0.0,quangninh,6,20.95938,107.05739,REGULAR,Khách sạn Bắc Kinh Hạ Long,private_room,0,0,1250000,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
42078074,0.0,quangninh,23,20.96013,107.00677,REGULAR,1989 House | Căn hộ cao cấp hướng ra biển Hạ Long,entire_home,0,0,1258683,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
48972460,0.0,quangninh,30,20.95219,107.0453,REGULAR,Khách sạn của Palette Collect Hạ Long,private_room,0,0,1369412,16.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
931474398390818343,0.0,quangninh,10,20.819465418826447,106.6866114216005,REGULAR,Căn hộ đẹp nhất Vinhomes Marina,private_room,0,0,1312354,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24841774,4.6,quangninh,19,20.95216,107.023903,REGULAR,Vịnh Hạ Long (cảnh biển),entire_home,48,0,1308001,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
762522740824309227,0.0,quangninh,12,20.72275640309231,106.78039254626917,REGULAR,Căn HỘ Marina - Cityview,private_room,0,0,1318834,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
